Id,Percentage in Operating Systems,Percentage in Algorithms,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Percentage in Mathematics,Communication skills rating,Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,Certifications 1,Certifications 2,reading and writing skills,memory capability score,Interested subjects,interested career area ,Job/Higher Studies?,Type of company want to settle in?,Management or Technical,worked in teams ever?,Introvert,Suggested Job Role
3093,76,91,76,67,74,87,60,61,11,7,2,6,9,yes,yes,yes,app development,system designing,poor,medium,networks,security,higherstudies,Sales and Marketing,Management,no,yes,Project Manager
3094,60,68,65,78,61,60,65,64,6,8,0,3,5,yes,yes,yes,information security,web technologies,medium,excellent,parallel computing,testing,higherstudies,Service Based,Technical,no,no,Web Developer
3095,60,61,72,75,72,62,75,87,5,1,3,2,2,yes,no,no,shell programming,hacking,medium,medium,cloud computing,security,higherstudies,product development,Management,no,yes,Technical Services/Help Desk/Tech Support
3096,77,92,63,60,81,64,62,87,10,5,4,1,9,yes,no,yes,distro making,game development,excellent,poor,IOT,security,job,Cloud Services,Technical,yes,no,Project Manager
3097,88,78,62,68,88,90,84,90,12,1,5,8,8,no,yes,no,distro making,web technologies,medium,medium,hacking,Business process analyst,job,Service Based,Management,yes,no,Software Engineer
3098,72,60,60,74,63,60,71,92,9,4,1,8,9,no,yes,no,hadoop,cloud computing,medium,poor,Computer Architecture,system developer,job,SAaS services,Technical,yes,yes,Technical Support
3099,88,67,94,92,81,78,66,86,8,4,3,8,8,yes,yes,no,hadoop,game development,medium,excellent,networks,cloud computing,job,Finance,Technical,no,yes,Database Developer
3100,65,70,70,93,71,75,84,82,12,6,5,5,7,no,yes,yes,r programming,data science,poor,medium,programming,testing,job,Sales and Marketing,Technical,no,yes,Database Manager
3101,75,94,68,92,65,79,74,93,5,7,5,7,5,no,yes,no,hadoop,web technologies,medium,poor,Computer Architecture,security,higherstudies,Testing and Maintainance Services,Technical,no,no,Database Developer
3102,60,88,82,91,94,93,85,83,6,4,0,2,2,no,no,yes,python,data science,medium,excellent,networks,developer,job,Product based,Management,yes,yes,Business Systems Analyst
3103,60,81,83,76,89,75,71,69,5,2,4,8,1,yes,yes,yes,full stack,data science,medium,medium,data engineering,security,higherstudies,Cloud Services,Management,no,no,Information Technology Manager
3104,68,76,75,61,86,63,62,94,6,5,5,5,1,yes,yes,yes,information security,cloud computing,medium,poor,Computer Architecture,security,higherstudies,product development,Technical,yes,no,CRM Technical Developer
3105,82,60,93,94,65,73,92,87,7,5,3,6,5,yes,yes,no,python,database security,medium,poor,Management,security,higherstudies,Cloud Services,Management,yes,no,Network Security Engineer
3106,78,65,72,93,90,92,74,88,8,7,2,3,8,no,yes,no,distro making,web technologies,poor,poor,networks,system developer,higherstudies,product development,Technical,no,no,Technical Engineer
3107,75,80,94,89,85,68,92,78,12,2,5,4,9,yes,no,yes,full stack,database security,poor,poor,parallel computing,security,higherstudies,SAaS services,Technical,yes,yes,Database Manager
3108,66,60,94,81,90,74,93,70,9,5,3,5,4,no,yes,no,python,hacking,poor,poor,cloud computing,security,higherstudies,Product based,Technical,yes,yes,Design & UX
3109,84,67,64,61,80,64,84,88,11,3,1,1,8,no,yes,no,python,system designing,medium,medium,Management,security,job,BPA,Management,no,no,Project Manager
3110,61,81,63,77,68,64,80,89,11,2,6,5,1,yes,no,no,distro making,game development,poor,poor,hacking,system developer,higherstudies,Finance,Management,no,yes,Applications Developer
3111,67,74,63,86,92,63,93,90,5,5,4,7,7,no,no,no,hadoop,database security,medium,excellent,data engineering,developer,job,Service Based,Management,no,yes,Database Developer
3112,70,72,91,91,78,65,84,76,10,8,5,9,4,yes,yes,yes,app development,data science,medium,excellent,data engineering,developer,higherstudies,Service Based,Management,no,no,Network Security Administrator
3113,85,70,82,82,73,78,87,77,9,8,4,7,3,no,yes,yes,information security,system designing,poor,excellent,Software Engineering,testing,higherstudies,Finance,Management,yes,no,UX Designer
3114,86,74,94,70,88,66,91,69,5,8,6,4,5,no,yes,yes,shell programming,system designing,medium,excellent,cloud computing,developer,higherstudies,Sales and Marketing,Technical,no,yes,Applications Developer
3115,73,79,75,92,89,65,65,71,5,9,0,5,3,yes,no,no,app development,web technologies,medium,poor,programming,system developer,job,BPA,Management,yes,yes,Software Systems Engineer
3116,87,61,77,74,94,80,75,67,10,8,2,6,2,no,no,yes,app development,web technologies,medium,medium,Computer Architecture,developer,higherstudies,product development,Management,yes,yes,Network Security Engineer
3117,91,80,73,79,73,89,87,83,11,6,3,2,8,yes,yes,yes,python,web technologies,medium,excellent,networks,developer,higherstudies,Service Based,Management,yes,yes,Systems Security Administrator
3118,75,70,82,73,79,73,66,60,7,7,6,8,5,no,yes,yes,full stack,database security,poor,excellent,cloud computing,Business process analyst,higherstudies,Product based,Management,no,no,E-Commerce Analyst
3119,71,65,75,80,63,92,84,65,9,1,2,5,5,no,yes,yes,shell programming,system designing,medium,excellent,networks,testing,higherstudies,Service Based,Management,yes,no,Information Security Analyst
3120,74,76,80,61,91,87,77,93,4,6,4,9,2,no,yes,no,full stack,game development,excellent,poor,parallel computing,Business process analyst,job,Service Based,Management,yes,no,Network Engineer
3121,86,67,79,62,85,64,77,90,11,8,3,1,9,no,yes,yes,r programming,testing,excellent,medium,Software Engineering,Business process analyst,higherstudies,Web Services,Management,no,no,Business Intelligence Analyst
3122,93,61,60,68,74,83,80,77,10,3,4,8,9,no,yes,no,hadoop,hacking,excellent,excellent,programming,testing,job,Web Services,Management,yes,no,CRM Business Analyst
3123,81,85,91,76,81,78,86,88,12,5,6,1,6,yes,yes,yes,hadoop,testing,excellent,medium,Software Engineering,system developer,job,Finance,Management,no,no,Information Technology Manager
3124,61,94,77,66,65,72,64,72,7,4,0,6,7,no,no,no,hadoop,testing,poor,medium,IOT,Business process analyst,higherstudies,Testing and Maintainance Services,Technical,no,no,Information Security Analyst
3125,94,76,79,92,70,83,81,83,11,5,1,4,9,no,yes,yes,r programming,testing,poor,excellent,parallel computing,system developer,higherstudies,Web Services,Technical,no,no,Software Developer
3126,84,69,72,90,69,93,77,68,10,3,5,5,2,no,yes,yes,machine learning,data science,medium,excellent,programming,developer,job,Sales and Marketing,Technical,no,yes,Software Engineer
3127,74,93,89,61,67,78,60,89,12,6,4,4,8,yes,no,no,shell programming,data science,excellent,excellent,Software Engineering,developer,higherstudies,Finance,Management,yes,yes,Information Security Analyst
3128,94,88,65,62,60,61,76,77,10,6,4,8,9,no,yes,yes,distro making,game development,excellent,medium,hacking,Business process analyst,job,Product based,Technical,no,yes,Software Quality Assurance (QA) / Testing
3129,71,73,78,65,74,64,66,87,11,4,2,8,7,yes,no,no,distro making,game development,excellent,excellent,programming,testing,job,product development,Technical,no,yes,Design & UX
3130,69,77,89,73,74,76,90,93,8,6,4,2,9,no,no,no,machine learning,web technologies,poor,poor,IOT,cloud computing,job,Finance,Technical,no,no,Database Administrator
3131,74,73,80,82,73,86,89,72,5,1,6,3,3,yes,yes,no,app development,data science,excellent,medium,data engineering,testing,higherstudies,BPA,Management,no,yes,Information Technology Manager
3132,76,71,68,91,63,94,76,71,10,2,6,6,9,no,yes,no,machine learning,web technologies,poor,excellent,networks,cloud computing,higherstudies,Testing and Maintainance Services,Management,no,yes,Technical Engineer
3133,77,68,88,79,79,67,60,80,5,7,6,7,3,yes,yes,yes,python,game development,poor,medium,hacking,system developer,higherstudies,Sales and Marketing,Management,yes,no,Database Manager
3134,77,88,65,87,63,94,80,83,6,9,3,5,3,yes,no,yes,app development,system designing,medium,excellent,Management,cloud computing,job,Web Services,Management,yes,no,UX Designer
3135,69,84,76,71,89,75,63,86,5,3,2,2,9,no,yes,yes,information security,system designing,excellent,poor,data engineering,testing,higherstudies,product development,Management,no,yes,Software Developer
3136,68,83,89,94,76,88,61,81,4,5,3,8,4,yes,no,no,machine learning,system designing,poor,poor,hacking,developer,job,Web Services,Technical,yes,no,Programmer Analyst
3137,77,70,70,74,60,86,90,80,11,5,0,3,8,no,yes,yes,app development,game development,poor,medium,parallel computing,security,higherstudies,SAaS services,Technical,no,no,Systems Security Administrator
3138,70,68,75,89,69,64,84,66,6,6,5,6,1,yes,no,no,full stack,testing,poor,excellent,Management,system developer,job,product development,Management,yes,no,Network Engineer
3139,85,89,90,90,76,76,87,77,11,4,1,5,4,no,no,no,full stack,cloud computing,poor,poor,programming,system developer,higherstudies,Product based,Management,yes,yes,Network Security Administrator
3140,73,90,64,69,89,65,84,91,12,8,5,1,3,no,no,no,shell programming,game development,poor,excellent,hacking,cloud computing,job,product development,Management,yes,yes,Solutions Architect
3141,69,85,64,65,83,60,92,87,7,6,1,8,6,yes,no,yes,information security,system designing,poor,medium,hacking,developer,higherstudies,Web Services,Technical,no,yes,Business Intelligence Analyst
3142,88,79,65,92,64,83,84,72,7,4,4,1,5,yes,no,yes,distro making,system designing,poor,poor,data engineering,testing,job,Sales and Marketing,Management,yes,no,Web Developer
3143,66,94,69,77,83,67,78,78,12,3,0,3,2,yes,no,no,full stack,web technologies,excellent,medium,data engineering,testing,job,BPA,Management,no,no,Project Manager
3144,81,67,60,84,80,78,66,83,6,8,0,4,8,yes,yes,yes,distro making,web technologies,poor,excellent,data engineering,testing,job,Sales and Marketing,Management,yes,yes,CRM Technical Developer
3145,75,72,90,63,67,80,92,72,8,5,0,1,2,yes,yes,no,app development,cloud computing,medium,excellent,IOT,testing,higherstudies,Cloud Services,Technical,no,no,Portal Administrator
3146,75,92,91,75,84,81,66,61,10,5,3,5,7,yes,yes,yes,machine learning,web technologies,medium,excellent,Management,Business process analyst,higherstudies,Service Based,Management,no,no,Technical Engineer
3147,88,79,89,88,88,72,93,77,10,2,3,9,4,yes,no,yes,r programming,game development,excellent,excellent,parallel computing,testing,higherstudies,product development,Technical,yes,no,Technical Engineer
3148,69,63,73,73,86,72,71,62,10,7,0,6,7,yes,no,yes,information security,hacking,poor,medium,networks,testing,job,Finance,Management,no,no,Quality Assurance Associate
3149,85,74,87,65,74,93,89,93,5,2,5,7,7,no,no,no,full stack,data science,medium,excellent,networks,system developer,higherstudies,product development,Management,no,no,Database Administrator
3150,82,72,68,64,91,81,79,86,6,4,5,2,8,yes,yes,yes,hadoop,system designing,medium,excellent,hacking,Business process analyst,job,Web Services,Technical,no,yes,Systems Analyst
3151,72,92,85,76,78,77,65,90,5,9,2,8,8,yes,no,no,hadoop,hacking,poor,poor,programming,security,higherstudies,Web Services,Technical,yes,no,Web Developer
3152,69,90,83,61,94,64,81,69,10,1,6,1,8,yes,no,no,shell programming,testing,medium,poor,cloud computing,testing,higherstudies,Finance,Management,yes,no,Database Manager
3153,91,78,62,62,67,61,62,93,8,8,5,5,7,no,no,yes,python,hacking,excellent,excellent,programming,security,higherstudies,BPA,Technical,no,no,UX Designer
3154,69,77,79,66,88,67,77,62,11,8,2,9,5,no,yes,no,machine learning,cloud computing,excellent,poor,IOT,security,job,Product based,Management,yes,no,Information Technology Auditor
3155,74,79,69,67,90,76,85,65,10,3,0,5,4,no,yes,yes,r programming,testing,medium,excellent,parallel computing,system developer,job,Sales and Marketing,Technical,no,yes,Business Intelligence Analyst
3156,64,85,76,90,77,71,76,64,12,9,5,6,2,no,yes,no,distro making,system designing,excellent,poor,networks,testing,job,BPA,Technical,no,yes,Information Technology Manager
3157,61,68,74,88,77,82,92,85,4,6,5,5,5,no,yes,no,r programming,game development,medium,poor,hacking,security,higherstudies,Product based,Management,yes,yes,Web Developer
3158,86,90,81,61,81,92,81,87,5,8,3,4,6,no,no,yes,machine learning,hacking,excellent,poor,IOT,Business process analyst,higherstudies,Product based,Technical,yes,no,Software Quality Assurance (QA) / Testing
3159,65,84,65,82,76,71,65,88,12,9,6,8,6,no,no,no,distro making,cloud computing,medium,medium,programming,developer,higherstudies,BPA,Management,no,yes,Portal Administrator
3160,63,86,62,92,94,92,90,72,4,1,2,4,4,yes,no,no,python,database security,poor,excellent,parallel computing,testing,job,BPA,Technical,yes,yes,Technical Services/Help Desk/Tech Support
3161,71,85,86,90,71,69,72,62,4,2,0,7,6,yes,no,no,r programming,web technologies,medium,excellent,networks,system developer,job,Finance,Management,no,no,Technical Engineer
3162,67,60,67,84,69,89,87,89,9,3,1,6,2,yes,yes,yes,shell programming,web technologies,medium,excellent,cloud computing,Business process analyst,higherstudies,Cloud Services,Management,no,yes,Network Engineer
3163,92,71,90,74,88,81,77,90,10,4,5,7,1,no,yes,no,r programming,cloud computing,excellent,excellent,parallel computing,system developer,job,Testing and Maintainance Services,Technical,yes,no,Data Architect
3164,88,76,91,68,60,66,75,62,12,1,1,2,9,no,no,yes,hadoop,testing,poor,medium,networks,testing,job,BPA,Management,no,no,Information Security Analyst
3165,79,92,64,87,82,64,93,88,11,8,5,5,3,yes,no,no,r programming,data science,excellent,poor,data engineering,testing,job,Cloud Services,Management,no,no,Software Developer
3166,76,65,78,80,73,71,78,86,5,3,4,4,1,yes,yes,yes,r programming,game development,medium,medium,data engineering,testing,job,BPA,Management,no,no,Programmer Analyst
3167,64,91,63,92,86,92,62,68,10,4,6,7,3,no,yes,no,app development,database security,poor,poor,hacking,security,higherstudies,Web Services,Technical,yes,no,Network Security Administrator
3168,87,71,90,66,79,80,77,66,6,8,2,3,8,yes,no,no,full stack,hacking,medium,medium,programming,developer,job,Sales and Marketing,Technical,yes,yes,UX Designer
3169,66,89,90,89,69,65,93,94,6,1,0,7,6,yes,no,no,machine learning,game development,excellent,poor,Computer Architecture,testing,job,Product based,Technical,no,yes,Software Systems Engineer
3170,61,63,71,82,87,71,72,64,10,8,0,6,4,no,yes,yes,machine learning,web technologies,poor,medium,Computer Architecture,cloud computing,higherstudies,Finance,Management,yes,no,Network Security Administrator
3171,90,88,77,91,85,77,69,74,5,7,6,6,2,yes,no,yes,r programming,hacking,medium,excellent,Software Engineering,security,higherstudies,product development,Management,yes,no,Software Quality Assurance (QA) / Testing
3172,64,88,74,75,63,70,77,66,9,2,1,6,9,no,yes,no,app development,web technologies,poor,medium,Computer Architecture,testing,job,Testing and Maintainance Services,Management,no,no,Software Developer
3173,77,63,74,75,76,84,72,87,6,5,3,2,7,no,no,no,r programming,web technologies,excellent,poor,networks,cloud computing,higherstudies,Testing and Maintainance Services,Technical,yes,no,Applications Developer
3174,82,62,65,83,68,84,70,88,4,7,1,7,1,no,no,yes,distro making,game development,excellent,poor,parallel computing,cloud computing,higherstudies,BPA,Management,no,yes,Technical Services/Help Desk/Tech Support
3175,91,94,76,80,69,94,74,66,11,9,4,5,2,no,yes,no,python,database security,medium,excellent,hacking,cloud computing,job,SAaS services,Technical,yes,yes,Network Engineer
3176,72,67,79,92,60,71,80,80,7,4,4,3,8,no,yes,no,machine learning,database security,excellent,poor,cloud computing,cloud computing,job,Testing and Maintainance Services,Technical,no,yes,Network Security Administrator
3177,81,72,92,72,63,74,89,62,11,6,5,2,8,yes,no,yes,distro making,testing,poor,poor,programming,security,higherstudies,SAaS services,Technical,no,yes,Data Architect
3178,91,82,91,91,88,76,73,84,10,3,6,7,8,yes,no,yes,python,data science,medium,poor,cloud computing,developer,higherstudies,Finance,Technical,no,no,Network Engineer
3179,89,82,73,89,64,82,62,91,10,6,6,6,7,no,yes,no,full stack,hacking,poor,medium,parallel computing,testing,job,Testing and Maintainance Services,Technical,no,yes,Information Technology Manager
3180,85,90,77,85,62,64,91,87,7,8,0,8,2,no,no,yes,python,game development,medium,excellent,Management,Business process analyst,higherstudies,BPA,Management,no,no,Applications Developer
3181,92,93,90,91,87,81,64,84,7,7,0,9,4,yes,yes,yes,app development,database security,medium,excellent,IOT,security,higherstudies,Cloud Services,Technical,yes,yes,Solutions Architect
3182,71,86,68,61,88,75,73,90,6,9,4,2,7,no,yes,no,hadoop,hacking,medium,excellent,Computer Architecture,developer,higherstudies,Finance,Technical,yes,no,Network Security Engineer
3183,94,94,76,74,69,76,80,60,5,1,0,6,9,yes,no,no,shell programming,hacking,poor,excellent,parallel computing,security,higherstudies,product development,Technical,yes,no,Technical Support
3184,69,81,73,88,92,78,61,62,5,6,1,8,1,yes,no,no,r programming,hacking,excellent,poor,IOT,Business process analyst,job,Product based,Technical,yes,no,Software Systems Engineer
3185,82,63,92,74,79,93,72,90,10,8,2,6,6,yes,yes,no,app development,data science,medium,poor,networks,testing,higherstudies,Finance,Management,yes,yes,Network Security Administrator
3186,66,93,69,84,60,64,71,77,5,1,6,9,4,no,no,yes,shell programming,cloud computing,poor,poor,Management,developer,job,BPA,Management,yes,yes,Technical Services/Help Desk/Tech Support
3187,74,71,83,92,64,65,94,81,11,5,4,8,4,yes,yes,no,python,testing,excellent,medium,networks,developer,higherstudies,Cloud Services,Technical,yes,yes,Software Engineer
3188,62,64,66,67,70,71,93,67,9,5,3,8,5,yes,no,no,hadoop,game development,medium,poor,data engineering,Business process analyst,higherstudies,Cloud Services,Management,no,yes,Systems Analyst
3189,82,72,63,66,71,86,84,69,5,7,3,4,8,no,no,no,r programming,hacking,poor,poor,Management,Business process analyst,higherstudies,product development,Management,no,no,Web Developer
3190,71,65,90,70,67,63,75,94,5,6,1,9,3,no,yes,no,python,testing,medium,medium,IOT,testing,job,Sales and Marketing,Technical,no,yes,Information Technology Auditor
3191,73,93,90,94,64,77,67,76,10,9,4,6,9,yes,no,no,full stack,web technologies,poor,medium,Software Engineering,security,higherstudies,Service Based,Technical,yes,yes,Systems Analyst
3192,88,78,90,71,76,61,87,74,5,8,6,8,2,yes,no,yes,full stack,cloud computing,excellent,poor,Management,system developer,higherstudies,product development,Management,yes,no,Portal Administrator
3193,77,65,62,72,87,89,60,72,8,9,5,2,1,no,no,no,full stack,database security,medium,medium,programming,system developer,job,Service Based,Technical,no,yes,Business Intelligence Analyst
3194,61,89,60,67,86,65,75,64,7,9,6,5,9,yes,no,yes,full stack,cloud computing,poor,medium,data engineering,testing,higherstudies,SAaS services,Technical,no,no,Systems Analyst
3195,69,70,75,91,71,76,86,94,6,8,6,2,4,yes,yes,no,python,testing,medium,medium,Computer Architecture,security,job,Product based,Technical,yes,yes,CRM Technical Developer
3196,92,81,74,64,81,78,77,80,12,5,1,5,9,yes,yes,yes,python,game development,excellent,poor,Software Engineering,Business process analyst,higherstudies,Product based,Technical,no,no,Database Administrator
3197,85,82,85,67,91,93,66,76,8,3,5,4,1,yes,yes,no,python,game development,excellent,medium,Software Engineering,Business process analyst,job,Service Based,Management,yes,yes,Data Architect
3198,80,76,79,75,71,80,69,80,6,1,0,5,6,yes,yes,no,r programming,game development,poor,excellent,networks,cloud computing,job,BPA,Management,no,yes,Portal Administrator
3199,89,87,65,87,73,78,67,69,6,2,2,1,7,yes,yes,yes,app development,data science,excellent,medium,data engineering,security,higherstudies,Web Services,Technical,yes,yes,Applications Developer
3200,91,73,78,78,61,64,79,90,11,6,6,9,9,no,yes,yes,python,cloud computing,poor,medium,Software Engineering,developer,higherstudies,Finance,Management,yes,no,Systems Security Administrator
3201,73,79,82,62,72,90,79,83,5,5,5,6,9,yes,no,yes,hadoop,cloud computing,excellent,poor,programming,security,higherstudies,Web Services,Management,no,no,Business Intelligence Analyst
3202,66,68,72,81,73,84,71,62,9,7,2,8,3,no,no,yes,python,cloud computing,medium,poor,hacking,Business process analyst,higherstudies,Web Services,Management,yes,yes,Programmer Analyst
3203,82,93,92,84,87,70,84,90,10,1,0,5,6,no,no,no,information security,system designing,medium,medium,cloud computing,Business process analyst,job,product development,Technical,no,yes,Network Engineer
3204,73,80,86,79,90,60,94,73,4,7,1,9,7,yes,yes,no,r programming,testing,poor,excellent,IOT,developer,job,Finance,Management,yes,no,Mobile Applications Developer
3205,74,76,65,71,64,66,87,91,7,5,4,9,3,no,yes,no,app development,game development,excellent,medium,hacking,developer,job,Testing and Maintainance Services,Management,no,no,Software Systems Engineer
3206,66,86,92,93,64,72,65,66,4,6,0,4,2,no,yes,no,shell programming,testing,poor,poor,Software Engineering,Business process analyst,higherstudies,SAaS services,Technical,yes,no,Software Developer
3207,83,78,85,61,84,76,76,63,5,7,6,6,8,yes,no,no,r programming,data science,medium,poor,parallel computing,security,job,Service Based,Technical,yes,yes,Network Engineer
3208,70,88,65,66,65,66,68,74,9,7,1,7,8,no,yes,no,shell programming,hacking,medium,excellent,Computer Architecture,system developer,higherstudies,Testing and Maintainance Services,Management,no,yes,Software Developer
3209,67,88,89,86,71,92,60,84,10,9,2,4,6,yes,no,no,shell programming,testing,medium,excellent,data engineering,testing,higherstudies,Service Based,Technical,yes,no,Mobile Applications Developer
3210,70,74,71,83,93,79,89,62,6,1,0,1,4,yes,no,no,machine learning,web technologies,poor,excellent,hacking,developer,job,Product based,Technical,no,no,Technical Engineer
3211,94,71,72,90,94,62,75,82,10,1,5,2,4,no,yes,no,shell programming,hacking,medium,medium,hacking,Business process analyst,higherstudies,Web Services,Technical,yes,no,Business Systems Analyst
3212,79,63,61,69,74,79,81,92,4,4,2,9,5,no,yes,no,python,testing,poor,excellent,cloud computing,cloud computing,job,Web Services,Management,no,no,Information Security Analyst
3213,87,73,93,77,87,79,65,61,5,1,2,2,8,yes,no,no,r programming,hacking,medium,medium,cloud computing,security,job,Product based,Technical,no,no,Software Quality Assurance (QA) / Testing
3214,70,89,70,90,84,75,85,77,12,2,6,5,2,yes,yes,no,distro making,testing,poor,excellent,Management,testing,job,Service Based,Management,no,no,Systems Analyst
3215,61,72,72,67,76,94,93,80,11,5,4,5,9,yes,no,yes,shell programming,system designing,poor,medium,Computer Architecture,system developer,higherstudies,Testing and Maintainance Services,Management,yes,yes,Applications Developer
3216,65,69,64,60,92,75,62,76,7,3,2,9,4,no,yes,no,app development,database security,medium,medium,cloud computing,cloud computing,job,SAaS services,Technical,no,yes,CRM Business Analyst
3217,70,94,91,94,61,88,84,74,10,5,2,1,9,no,no,yes,app development,testing,poor,poor,data engineering,Business process analyst,higherstudies,SAaS services,Technical,yes,yes,Business Systems Analyst
3218,87,66,64,86,63,60,69,60,5,6,6,6,3,no,yes,yes,r programming,cloud computing,excellent,medium,programming,security,higherstudies,product development,Technical,yes,yes,Network Engineer
3219,69,64,81,79,94,83,83,79,10,9,0,4,2,yes,yes,yes,shell programming,testing,poor,poor,hacking,cloud computing,higherstudies,Testing and Maintainance Services,Technical,no,no,Applications Developer
3220,79,80,86,69,74,86,86,71,12,4,0,8,7,yes,no,no,machine learning,hacking,poor,poor,programming,Business process analyst,higherstudies,SAaS services,Management,no,yes,Database Manager
3221,74,65,84,87,85,89,77,93,10,6,4,6,3,no,no,no,shell programming,database security,medium,excellent,Computer Architecture,system developer,higherstudies,Cloud Services,Technical,yes,yes,Technical Engineer
3222,78,61,80,75,78,78,80,63,4,5,4,4,9,yes,yes,no,machine learning,system designing,excellent,poor,hacking,developer,higherstudies,Service Based,Technical,no,no,Network Engineer
3223,75,94,65,73,62,73,68,88,12,4,6,4,5,yes,no,yes,app development,testing,excellent,medium,data engineering,cloud computing,higherstudies,Web Services,Technical,yes,no,Solutions Architect
3224,68,76,62,70,87,80,64,67,7,8,4,2,3,no,yes,no,hadoop,web technologies,poor,medium,data engineering,system developer,job,Product based,Management,yes,no,Software Systems Engineer
3225,91,74,72,60,61,67,84,75,5,2,0,7,1,no,yes,yes,python,web technologies,poor,medium,networks,developer,higherstudies,SAaS services,Management,yes,no,Network Security Administrator
3226,68,82,61,92,77,78,81,69,9,3,6,5,6,no,yes,no,python,system designing,poor,poor,hacking,security,higherstudies,SAaS services,Technical,yes,yes,Web Developer
3227,61,66,84,77,90,84,87,91,12,7,6,3,7,no,no,yes,full stack,hacking,poor,excellent,Computer Architecture,developer,higherstudies,Web Services,Technical,no,no,CRM Technical Developer
3228,67,62,93,67,84,66,92,60,5,9,0,4,1,yes,no,yes,full stack,cloud computing,excellent,medium,Computer Architecture,Business process analyst,job,BPA,Management,no,yes,E-Commerce Analyst
3229,64,60,70,75,80,92,63,67,8,6,1,1,5,no,no,yes,shell programming,testing,excellent,excellent,data engineering,system developer,higherstudies,Service Based,Management,yes,yes,Portal Administrator
3230,92,77,83,78,68,71,74,87,12,6,4,7,7,no,no,yes,shell programming,web technologies,medium,poor,hacking,Business process analyst,job,SAaS services,Technical,yes,yes,Quality Assurance Associate
3231,80,78,70,61,76,69,75,80,9,7,2,4,8,yes,yes,yes,python,testing,excellent,poor,data engineering,system developer,higherstudies,Cloud Services,Technical,yes,no,Network Security Administrator
3232,61,64,70,78,73,88,93,68,10,3,2,4,4,yes,yes,yes,hadoop,cloud computing,poor,excellent,Computer Architecture,system developer,higherstudies,Finance,Management,yes,yes,Network Security Engineer
3233,80,63,60,72,70,68,74,60,8,4,6,8,1,yes,no,yes,full stack,data science,poor,medium,networks,testing,higherstudies,Cloud Services,Technical,no,yes,Technical Services/Help Desk/Tech Support
3234,62,61,68,90,77,81,74,69,7,6,4,2,5,no,yes,no,r programming,system designing,medium,medium,cloud computing,system developer,job,Service Based,Technical,yes,yes,Database Developer
3235,80,76,72,89,80,79,72,83,6,3,2,6,1,no,yes,no,information security,database security,excellent,excellent,cloud computing,system developer,job,Cloud Services,Technical,yes,no,Data Architect
3236,61,86,66,75,77,80,85,83,10,4,1,1,3,yes,yes,no,shell programming,testing,poor,poor,IOT,testing,higherstudies,Sales and Marketing,Technical,yes,yes,Design & UX
3237,73,87,78,70,78,64,82,75,5,3,0,7,5,no,no,no,machine learning,game development,medium,excellent,Management,cloud computing,job,SAaS services,Technical,yes,yes,Network Security Administrator
3238,72,86,89,82,89,94,92,80,11,7,6,5,9,no,yes,no,distro making,testing,poor,medium,Computer Architecture,cloud computing,job,SAaS services,Technical,no,yes,Information Technology Auditor
3239,93,81,87,70,79,80,87,73,11,7,0,1,7,yes,no,yes,python,game development,medium,excellent,programming,system developer,higherstudies,Cloud Services,Management,yes,no,Software Engineer
3240,62,72,62,80,76,71,72,76,12,8,5,2,4,no,no,no,app development,testing,medium,poor,networks,security,higherstudies,Web Services,Management,no,yes,Business Intelligence Analyst
3241,66,81,73,92,87,62,66,83,12,5,3,7,7,no,no,no,r programming,database security,excellent,medium,networks,security,job,Web Services,Technical,yes,yes,Applications Developer
3242,82,67,66,78,75,67,90,65,7,1,5,6,4,yes,no,yes,r programming,database security,excellent,poor,hacking,testing,job,Service Based,Management,no,yes,Project Manager
3243,82,67,60,94,60,86,65,79,8,5,2,4,6,yes,yes,no,app development,data science,poor,medium,hacking,system developer,job,Web Services,Technical,no,no,Network Security Administrator
3244,85,83,73,82,67,77,69,76,12,4,1,7,7,yes,no,yes,app development,data science,excellent,poor,Software Engineering,testing,higherstudies,Web Services,Technical,yes,no,CRM Business Analyst
3245,86,80,71,80,84,69,60,79,12,6,5,8,6,yes,yes,no,shell programming,testing,medium,excellent,Management,Business process analyst,job,Finance,Management,no,no,Network Engineer
3246,76,75,74,89,65,61,62,74,8,6,0,7,2,no,no,no,hadoop,web technologies,medium,medium,cloud computing,developer,higherstudies,Finance,Management,no,no,Network Engineer
3247,69,92,70,77,91,71,69,83,10,9,3,5,4,yes,yes,no,information security,data science,medium,poor,hacking,developer,job,Sales and Marketing,Technical,yes,no,E-Commerce Analyst
3248,91,94,88,64,85,90,71,74,10,5,5,1,4,yes,yes,no,app development,game development,poor,medium,hacking,security,higherstudies,Web Services,Management,no,no,Technical Support
3249,62,81,64,80,77,63,75,72,6,8,2,9,3,yes,no,yes,r programming,database security,poor,excellent,Management,cloud computing,higherstudies,Sales and Marketing,Technical,yes,no,Portal Administrator
3250,64,90,88,78,60,70,80,64,7,9,0,1,3,no,yes,no,r programming,system designing,medium,medium,programming,system developer,job,Finance,Technical,yes,no,Mobile Applications Developer
